
Date,Open,High,Low,Close,Volume
2023-05-30,176.96,178.99,176.82,177.30,55969600
2023-05-31,177.33,179.35,176.76,177.25,99625000
2023-06-01,177.70,180.12,176.93,180.09,68901800
2023-06-02,181.03,181.78,179.26,180.95,61945900
2023-06-05,182.63,184.95,178.04,179.58,121946500
2023-06-06,179.97,180.12,177.42,179.21,64340000
2023-06-07,178.44,181.21,177.32,177.82,61944600
2023-06-08,177.90,180.84,177.46,180.57,50214900
2023-06-09,181.50,182.23,180.63,180.96,48870700
2023-06-12,181.27,183.89,180.97,183.79,54274900
2023-06-13,182.80,184.15,182.44,183.31,54929100
2023-06-14,183.40,184.39,182.02,183.95,57462900
2023-06-15,183.96,186.52,183.78,186.01,65433200
2023-06-16,186.73,186.99,184.27,184.92,101235600
2023-06-20,184.41,186.10,184.41,185.01,59740600
2023-06-21,184.91,185.42,182.59,183.96,49515700
2023-06-22,183.74,187.05,183.67,187.00,51245300
2023-06-23,185.55,187.56,185.01,186.68,53079300
2023-06-26,186.83,188.05,185.23,185.27,48088700
2023-06-27,185.89,188.39,185.67,188.06,50730800
2023-06-28,187.93,190.03,187.60,189.25,51216800
2023-06-29,189.08,190.07,188.94,189.59,46347300
2023-06-30,191.63,194.48,191.26,193.97,85069600

